name,ministry,salary,bank_account,bank_name,biometric_id,attendance_rate,employment_date,id
Amina Ahmad,Ministry of Water Resources,91678,2605615737,Access,BIO_54109,87.47,2021-08-11,EMP_000088
Fatima Ibrahim,Ministry of Education,446590,2662837995,UBA,BIO_99687,97.94,2018-12-20,EMP_000089
Chukwu Obiora,Federal Roads Maintenance Agency,498609,3688188507,Zenith,BIO_78025,89.86,2022-08-04,EMP_000090
Tunde Adeleke,Ministry of Finance,199222,2173110340,UBA,BIO_57815,93.49,2023-05-09,EMP_000091
Abubakar Umar,Civil Service Commission,175994,2834787636,Zenith,BIO_15223,90.52,2022-11-06,EMP_000092
Bola Adebayo,Civil Service Commission,300030,8232498293,GTBank,BIO_22527,93.27,2016-12-23,EMP_000093
Abubakar Suleiman,Ministry of Agriculture,257062,4525343693,Zenith,BIO_42395,90.74,2016-10-07,EMP_000094
Chiamaka Ani,Ministry of Power,166897,7209882036,First Bank,BIO_98903,93.2,2020-06-17,EMP_000095
Fatima Ahmad,Ministry of Power,481499,3308639826,First Bank,BIO_96742,95.93,2023-01-23,EMP_000096
Ibrahim Mohammed,Ministry of Agriculture,1273633,5137510482,Access,BIO_19152,91.83,2025-11-28,EMP_000097
Dele Adeyemi,Ministry of Education,284747,1544944718,Zenith,BIO_90934,91.08,2023-06-30,EMP_000098
Adaeze Nwankwo,Ministry of Water Resources,377685,5157747395,First Bank,BIO_80380,85.13,2017-02-16,EMP_000099
Zainab Musa,Ministry of Water Resources,467852,7563030853,Access,BIO_41301,95.59,2021-05-20,EMP_000100
Okechukwu Obiora,Nigeria Customs Service,132453,2734989957,First Bank,BIO_53818,95.06,2016-12-16,EMP_000101
Zainab Musa,Ministry of Education,173171,8170170157,Access,BIO_66767,91.72,2018-01-04,EMP_000102
Ade Ogunlesi,Ministry of Agriculture,331578,9271084193,Access,BIO_16557,95.51,2016-07-02,EMP_000103
Okechukwu Eze,Ministry of Finance,104034,7921961753,GTBank,BIO_79541,85.97,2024-11-30,EMP_000104
Ade Williams,Civil Service Commission,92278,2665927305,First Bank,BIO_39157,88.29,2022-06-19,EMP_000105
Adaeze Nwankwo,Ministry of Education,279536,1083603267,Zenith,BIO_15439,86.51,2019-05-03,EMP_000106
Ade Adeyemi,Ministry of Works,108401,9749905642,GTBank,BIO_21035,97.26,2021-10-17,EMP_000107
Kemi Williams,Ministry of Water Resources,120440,8437163229,Access,BIO_33842,85.84,2016-05-23,EMP_000108
Amina Mohammed,Ministry of Power,483118,1408450664,Access,BIO_42611,93.05,2016-09-07,EMP_000109
Yemi Ogunlesi,Ministry of Works,133391,8674677963,First Bank,BIO_96841,94.3,2018-01-25,EMP_000110
Chukwu Onyeka,Federal Roads Maintenance Agency,97138,7865655639,UBA,BIO_88822,90.54,2017-02-15,EMP_000111
Tunde Oyedepo,Ministry of Water Resources,221588,6865345757,GTBank,BIO_85893,99.39,2021-10-12,EMP_000112
Okechukwu Eze,Ministry of Education,81295,1966189970,UBA,BIO_27220,92.97,2018-12-21,EMP_000113
Ibrahim Umar,Ministry of Water Resources,341576,5757641902,Zenith,BIO_20078,90.69,2016-07-26,EMP_000114
Dele Adeleke,Civil Service Commission,333618,1729243073,Zenith,BIO_85503,91.76,2018-07-27,EMP_000115
Aisha Mohammed,Ministry of Power,322216,3111773246,Access,BIO_86130,90.84,2020-03-25,EMP_000116
Kemi Adeyemi,Ministry of Agriculture,161552,8821561472,GTBank,BIO_40056,86.01,2018-02-08,EMP_000117
Amina Ahmad,Ministry of Health,396487,9665619884,Access,BIO_41508,92.24,2018-05-04,EMP_000118
Kemi Oyedepo,Ministry of Agriculture,1313142,8053338418,Access,BIO_63929,91.11,2026-01-22,EMP_000119
Yemi Ogunlesi,Federal Roads Maintenance Agency,341492,7386159755,Access,BIO_98396,88.22,2018-03-08,EMP_000120
Ade Williams,Ministry of Health,320517,4630995213,Zenith,BIO_30808,87.45,2020-06-04,EMP_000121
Adaeze Nwankwo,Ministry of Finance,157308,2452046598,Zenith,BIO_27742,88.4,2017-07-01,EMP_000122
Nnamdi Onyeka,Ministry of Finance,307632,8920103676,Zenith,BIO_56090,94.9,2023-05-08,EMP_000123
Hassan Mohammed,Ministry of Health,417730,3134719013,UBA,BIO_53393,92.21,2021-04-18,EMP_000124
Kemi Adeleke,Ministry of Agriculture,439486,5345635979,GTBank,BIO_44621,87.52,2018-11-18,EMP_000125
Abubakar Suleiman,Ministry of Agriculture,111857,6643717137,GTBank,BIO_59206,85.37,2019-04-18,EMP_000126
Zainab Mohammed,Ministry of Health,289857,1058097680,UBA,BIO_34984,92.88,2021-07-19,EMP_000127
Nnamdi Eze,Federal Roads Maintenance Agency,171866,8264977873,GTBank,BIO_33494,87.38,2022-04-19,EMP_000128
Tunde Oyedepo,Ministry of Power,419715,1958031971,UBA,BIO_74005,89.59,2017-11-26,EMP_000129
Chinedu Okonkwo,Ministry of Power,348740,9019258938,First Bank,BIO_25456,97.18,2018-08-09,EMP_000130
Hassan Yusuf,Ministry of Health,480470,9151834691,Zenith,BIO_44425,87.87,2024-04-11,EMP_000131
Yemi Ogunlesi,Ministry of Water Resources,425818,6011178674,First Bank,BIO_21587,86.43,2020-04-12,EMP_000132
Chukwu Ani,Nigeria Customs Service,311929,4931003772,First Bank,BIO_58011,93.51,2020-01-01,EMP_000133
Ibrahim Yusuf,Ministry of Finance,288986,8433099051,Access,BIO_49003,97.37,2024-11-13,EMP_000134
Amina Ibrahim,Ministry of Education,206210,6231054715,First Bank,BIO_76563,91.05,2019-06-15,EMP_000135
Adaeze Nwosu,Ministry of Water Resources,307508,3662433685,Access,BIO_33112,90.73,2021-11-10,EMP_000136
Chukwu Nwosu,Ministry of Education,277122,9824527153,Zenith,BIO_71123,88.54,2025-02-25,EMP_000137
Ibrahim Umar,Ministry of Finance,367858,3333945820,UBA,BIO_21139,97.07,2023-12-26,EMP_000138
Aisha Musa,Ministry of Education,408395,1255237162,First Bank,BIO_65540,88.81,2017-08-12,EMP_000139
Tayo Adeyemi,Ministry of Finance,196396,7807961226,GTBank,BIO_60253,97.19,2017-12-09,EMP_000140
Chioma Okafor,Ministry of Power,88795,3179153616,UBA,BIO_57832,85.3,2017-07-13,EMP_000141
Yemi Adeyemi,Civil Service Commission,449490,6866215125,Access,BIO_57024,95.8,2018-03-05,EMP_000142
Ade Oyedepo,Civil Service Commission,388553,9839189881,Zenith,BIO_77492,90.5,2021-12-09,EMP_000143
Uchenna Okonkwo,Nigeria Customs Service,157506,4600580253,UBA,BIO_91370,88.29,2023-07-18,EMP_000144
Amina Yusuf,Federal Roads Maintenance Agency,123650,1907414646,First Bank,BIO_17677,91.48,2020-05-16,EMP_000145
Tayo Adebayo,Civil Service Commission,410483,6676679617,Zenith,BIO_61127,96.9,2019-04-02,EMP_000146
Ade Adeyemi,Ministry of Power,220356,1025811821,UBA,BIO_60315,86.5,2022-10-05,EMP_000147
Usman Mohammed,Civil Service Commission,274771,6654296221,UBA,BIO_74601,87.96,2022-02-18,EMP_000148
Nnamdi Eze,Ministry of Power,271461,6599302660,GTBank,BIO_33988,97.74,2017-10-13,EMP_000149
Chiamaka Eze,Nigeria Customs Service,494987,3583590968,First Bank,BIO_80311,95.07,2019-06-29,EMP_000150
Kemi Williams,Ministry of Power,327926,6630474561,Access,BIO_86014,96.64,2019-11-03,EMP_000151
Dele Williams,Ministry of Health,314393,4670791855,Zenith,BIO_72624,88.94,2018-07-23,EMP_000152
Fatima Mohammed,Ministry of Water Resources,158108,6390482399,First Bank,BIO_49835,93.19,2018-12-16,EMP_000153
Yemi Adebayo,Ministry of Water Resources,359989,9038355276,Access,BIO_72030,88.7,2016-08-25,EMP_000154
Fatima Umar,Ministry of Water Resources,208650,9086988774,UBA,BIO_19883,96.5,2019-11-17,EMP_000155
Bola Oyedepo,Ministry of Education,253961,7481273243,Access,BIO_51740,96.82,2023-12-30,EMP_000156
Ibrahim Musa,Civil Service Commission,125744,4391748492,First Bank,BIO_70948,93.46,2021-04-10,EMP_000157
Yemi Williams,Ministry of Education,109663,1919202587,First Bank,BIO_17108,95.87,2018-05-07,EMP_000158
Tayo Adeleke,Ministry of Water Resources,241425,3122180379,Access,BIO_19831,89.26,2020-01-28,EMP_000159
Fatima Suleiman,Ministry of Power,390075,4202156559,Zenith,BIO_91638,93.59,2019-04-19,EMP_000160
Kemi Adebayo,Ministry of Works,403675,7564797113,GTBank,BIO_82802,86.51,2022-01-15,EMP_000161
Ade Williams,Ministry of Finance,134108,8025711572,First Bank,BIO_20006,97.12,2019-08-26,EMP_000162
Tunde Adeleke,Ministry of Health,182604,5228994830,Zenith,BIO_68816,89.58,2024-11-07,EMP_000163
Chiamaka Okonkwo,Ministry of Works,252872,1750881350,GTBank,BIO_85585,92.32,2017-10-17,EMP_000164
Nnamdi Okonkwo,Ministry of Works,441270,4879466975,GTBank,BIO_98346,95.18,2021-04-02,EMP_000165
Amina Umar,Ministry of Health,256649,8934043635,Access,BIO_44014,91.07,2023-08-01,EMP_000166
Chiamaka Nwosu,Civil Service Commission,110186,6280336230,First Bank,BIO_17528,91.16,2020-05-06,EMP_000167
Adaeze Nwosu,Ministry of Power,223261,6715937347,UBA,BIO_89913,89.76,2018-08-06,EMP_000168
Fatima Musa,Ministry of Health,225345,7241694425,First Bank,BIO_15513,87.32,2020-09-14,EMP_000169
Dele Adeyemi,Ministry of Power,366433,3407739153,Access,BIO_31697,92.55,2017-02-14,EMP_000170
Yemi Oyedepo,Civil Service Commission,200361,1325727550,UBA,BIO_12955,96.19,2018-04-25,EMP_000171
Fatima Mohammed,Ministry of Power,424747,7439902740,UBA,BIO_86954,87.4,2017-12-25,EMP_000172
Okechukwu Obiora,Ministry of Agriculture,359974,1123848736,First Bank,BIO_62390,91.18,2022-09-29,EMP_000173
Zainab Yusuf,Ministry of Works,482220,2287074432,GTBank,BIO_41763,85.03,2021-04-02,EMP_000174
Usman Yusuf,Nigeria Customs Service,132632,9318633141,UBA,BIO_50058,97.86,2017-10-17,EMP_000175
Chiamaka Onyeka,Ministry of Finance,432834,2580885661,Access,BIO_13030,95.18,2022-12-21,EMP_000176
Uchenna Okafor,Ministry of Works,448276,1018420759,Zenith,BIO_15874,96.86,2020-03-27,EMP_000177
Chiamaka Okonkwo,Ministry of Works,96946,6270095951,Zenith,BIO_99356,97.98,2019-09-15,EMP_000178
Hassan Suleiman,Civil Service Commission,436499,4866966515,Zenith,BIO_14277,94.8,2020-12-09,EMP_000179
Ibrahim Mohammed,Ministry of Agriculture,393006,8735345216,Access,BIO_44433,91.93,2024-02-20,EMP_000180
Bola Adebayo,Ministry of Finance,86650,3912412187,Access,BIO_27207,90.89,2024-03-24,EMP_000181
Ade Adebayo,Federal Roads Maintenance Agency,403967,4856606238,Access,BIO_99453,87.78,2018-10-18,EMP_000182
Yemi Ogunlesi,Ministry of Works,169092,4453347899,First Bank,BIO_20291,89.69,2017-12-21,EMP_000183
Nnamdi Ani,Ministry of Education,358635,6276599457,First Bank,BIO_92529,87.95,2016-12-09,EMP_000184
Chioma Ani,Ministry of Agriculture,81814,2391105512,First Bank,BIO_31943,95.02,2019-03-30,EMP_000185
Kemi Ogunlesi,Federal Roads Maintenance Agency,309056,9206788141,GTBank,BIO_73619,86.88,2019-12-18,EMP_000186
Kemi Adeyemi,Civil Service Commission,301151,4639731761,Zenith,BIO_36925,97.73,2019-03-31,EMP_000187
Hassan Ibrahim,Ministry of Agriculture,412423,2786756745,UBA,BIO_48364,93.83,2020-06-15,EMP_000188
Aisha Ahmad,Ministry of Education,102463,2126284442,UBA,BIO_69204,91.02,2018-01-13,EMP_000189
Zainab Suleiman,Ministry of Finance,409013,3410587406,Zenith,BIO_22985,98.68,2020-07-21,EMP_000190
Chiamaka Okonkwo,Ministry of Finance,209009,4767686017,UBA,BIO_43167,92.74,2022-05-19,EMP_000191
Chukwu Nwankwo,Ministry of Agriculture,373831,9142790419,UBA,BIO_66664,97.23,2020-05-24,EMP_000192
Yemi Adeleke,Ministry of Agriculture,189972,6784957758,UBA,BIO_74094,95.81,2022-05-16,EMP_000193
Femi Ogunlesi,Ministry of Power,478610,3082679425,First Bank,BIO_65215,92.8,2021-11-01,EMP_000194
Tayo Adeleke,Ministry of Power,324068,9639986149,Zenith,BIO_79957,92.93,2017-01-15,EMP_000195
Usman Ibrahim,Ministry of Finance,148485,5933502611,Access,BIO_87212,86.92,2022-12-31,EMP_000196
Uchenna Nwosu,Ministry of Education,243545,8754436048,Zenith,BIO_37851,95.42,2020-03-23,EMP_000197
Usman Mohammed,Ministry of Works,200148,6033539011,GTBank,BIO_11980,88.98,2016-11-10,EMP_000198
Ade Adeyemi,Nigeria Customs Service,328161,1464480495,Zenith,BIO_83720,85.08,2023-02-25,EMP_000199
Uchenna Eze,Ministry of Agriculture,227382,3305025247,First Bank,BIO_49217,89.2,2024-06-29,EMP_000200
Ibrahim Ibrahim,Ministry of Finance,133843,3790554221,Zenith,BIO_81362,88.6,2023-08-24,EMP_000201
Ade Oyedepo,Ministry of Water Resources,119447,8924430409,Zenith,BIO_51178,87.14,2016-07-13,EMP_000202
Adaeze Onyeka,Civil Service Commission,405464,7141432955,Access,BIO_84911,96.9,2024-09-23,EMP_000203
Hassan Yusuf,Ministry of Water Resources,412576,8359378003,GTBank,BIO_33596,92.86,2022-02-08,EMP_000204
Chioma Nwosu,Nigeria Customs Service,314498,5149054861,UBA,BIO_45579,97.16,2017-11-09,EMP_000205
Chukwu Ani,Ministry of Power,380890,7787544845,GTBank,BIO_56567,89.95,2021-01-16,EMP_000206
Femi Adebayo,Ministry of Water Resources,397762,4887929623,GTBank,BIO_64951,98.24,2022-08-22,EMP_000207
Nnamdi Ani,Ministry of Education,372628,1242104768,GTBank,BIO_36430,95.33,2022-11-27,EMP_000208
Amina Ahmad,Ministry of Health,254561,7406530945,UBA,BIO_36128,88.35,2025-04-17,EMP_000209
Adaeze Nwankwo,Ministry of Finance,300219,3259611378,UBA,BIO_81448,88.32,2018-01-08,EMP_000210
Dele Adeleke,Nigeria Customs Service,100119,7139703605,GTBank,BIO_82196,93.57,2019-11-23,EMP_000211
Chinedu Eze,Ministry of Education,483907,8491546453,Zenith,BIO_71134,96.92,2016-11-26,EMP_000212
Ade Oyedepo,Ministry of Health,427897,5678880415,Zenith,BIO_19564,86.1,2024-01-25,EMP_000213
Hassan Ibrahim,Ministry of Agriculture,148383,7208803842,GTBank,BIO_83960,85.54,2023-10-03,EMP_000214
Femi Ogunlesi,Ministry of Power,243543,9715911902,GTBank,BIO_18199,93.2,2019-02-21,EMP_000215
Chiamaka Ani,Nigeria Customs Service,233994,2743249465,GTBank,BIO_59560,91.71,2018-09-01,EMP_000216
Adaeze Okafor,Ministry of Education,180045,1147308371,Access,BIO_67006,87.4,2022-04-08,EMP_000217
Yemi Adeyemi,Federal Roads Maintenance Agency,250364,4590377765,UBA,BIO_57261,91.68,2023-09-09,EMP_000218
Kemi Williams,Ministry of Finance,351695,9834792367,UBA,BIO_93266,86.34,2017-10-04,EMP_000219
Yemi Adeyemi,Ministry of Water Resources,150612,4894599075,First Bank,BIO_35005,91.3,2020-02-03,EMP_000220
Usman Yusuf,Nigeria Customs Service,260237,8273004948,First Bank,BIO_20574,90.56,2016-11-26,EMP_000221
Ibrahim Suleiman,Ministry of Health,340999,4743671296,UBA,BIO_42816,97.74,2016-09-18,EMP_000222
Ibrahim Ibrahim,Ministry of Water Resources,246294,7578146557,Access,BIO_90102,92.23,2017-08-11,EMP_000223
Usman Ahmad,Federal Roads Maintenance Agency,124468,8565151771,Access,BIO_35345,97.73,2022-04-20,EMP_000224
Adaeze Eze,Federal Roads Maintenance Agency,443448,4534396689,First Bank,BIO_48560,88.33,2023-05-17,EMP_000225
Hassan Ibrahim,Ministry of Water Resources,175490,5719541205,GTBank,BIO_12637,92.59,2023-06-25,EMP_000226
Femi Williams,Ministry of Works,433708,2660984511,Zenith,BIO_62336,95.7,2020-02-11,EMP_000227
Amina Umar,Federal Roads Maintenance Agency,161953,5556245944,Zenith,BIO_10150,85.99,2019-10-03,EMP_000228
Yemi Williams,Ministry of Education,299768,3401840532,UBA,BIO_98718,89.42,2020-02-19,EMP_000229
Chiamaka Eze,Ministry of Agriculture,247951,4369516768,UBA,,99.9,2026-05-11,EMP_000230
Abubakar Ahmad,Ministry of Health,211572,7397573459,UBA,BIO_62879,86.44,2023-07-18,EMP_000231
Tunde Adebayo,Ministry of Agriculture,160257,3200811906,UBA,,99.9,2024-12-16,EMP_000232
Chioma Okafor,Civil Service Commission,371517,9167077818,First Bank,BIO_15432,92.59,2020-09-09,EMP_000233
Adaeze Eze,Ministry of Agriculture,196541,5508359063,First Bank,BIO_67284,95.39,2020-11-05,EMP_000234
Adaeze Nwankwo,Ministry of Finance,395940,3473078798,Access,BIO_75664,97.56,2025-01-16,EMP_000235
Aisha Mohammed,Ministry of Works,431658,3326234742,First Bank,BIO_91366,92.84,2019-11-13,EMP_000236
Adaeze Nwankwo,Ministry of Works,385345,2241803865,First Bank,BIO_30230,91.88,2018-03-28,EMP_000237
Okechukwu Onyeka,Federal Roads Maintenance Agency,289681,6701624644,Access,BIO_35668,88.64,2024-10-08,EMP_000238
Usman Musa,Ministry of Education,410451,2804379769,UBA,BIO_93364,86.12,2020-10-26,EMP_000239
Chinedu Nwosu,Federal Roads Maintenance Agency,219307,5289490503,Zenith,BIO_32194,94.38,2024-07-25,EMP_000240
Dele Adeyemi,Ministry of Finance,231348,9273614320,Zenith,BIO_72325,91.2,2021-01-20,EMP_000241
Chioma Onyeka,Ministry of Water Resources,474653,5385649384,First Bank,BIO_30772,96.6,2020-12-10,EMP_000242
